target_order,plugin,prefix,candidate_folders,in_downloaded_archive,in_mv_loadorder,in_nolvus_plugins,in_mv_install,in_nolvus_install
2309,TRD Patch - At Your Own Pace - Main Quest.esp,TRD Patch,,,,yes,,The Restless Dead - At Your Own Pace Patch
2332,AetheriusLowerStartingSkills.esp,AetheriusLowerStartingSkills,,,,,,
2333,AetheriusNPCSpellAbsorb.esp,AetheriusNPCSpellAbsorb,,,yes,,Aetherius - A Race Overhaul,
2334,BeastHHBB - Relationship Dialogue Overhaul Replacer.esp,BeastHHBB,BeastHHBB - Patches and Addons (keep),,,,,
2335,CC Bittercup - Fixes.esp,CC Bittercup,,,yes,,Psychopatchist Purgatory,
2336,DeadlySpellImpacts - Mysticism.esp,DeadlySpellImpacts,Deadly Spell Impacts - Patches (keep),,yes,,lilebonymace's patches,
2337,DeadlySpellImpacts - Two Fire.esp,DeadlySpellImpacts,Deadly Spell Impacts - Patches (keep),,yes,,Deadly Spell Impacts,
2338,Desecration - Adamant Patch.esp,Desecration,,,yes,,Desecration,
2339,DK Nord Ships - CC Fishing patch.esp,DK Nord Ships,,,,,,
2340,DK Nord Ships - Fixes.esp,DK Nord Ships,,,,,,
2341,Giant_New_Anim.esl,Giant,Simple Hunting Overhaul - Mihail Sea Giants and Ice Titans Patch (keep); Skyrim's Unique Drinks - Ryn's Sleeping Giant Inn Patch (keep); Mihail - Sea Giants and Ice Titans - Wyrmstooth Patch (keep),,yes,,New Creature Animation - Giant,
2342,HouseOfHorrorsQuestExpansion - TheChoiceIsYours.esp,HouseOfHorrorsQuestExpansion,Wintersun - House of Horrors - Quest Expansion Patch (keep); House of Horrors - Quest Expansion - Enigma Series Patch (keep),,yes,yes,lilebonymace's patches,
2343,Adamant - WACCF.esp,Adamant,Adamant - FleshFX Patch (keep); Adamant - Apocalypse Patch (keep),,,,,
2344,Apothecary - WACCF.esp,Apothecary,Apothecary - Awesome Potions Simplified Patch (keep); Apothecary - StarRiseShine's Patches (keep); Apothecary - Mihail Goblins and Riekrs - Patch (keep),,,,,
2345,DeadlySpellImpacts - AOS + ISC.esp,DeadlySpellImpacts,Deadly Spell Impacts - Patches (keep),,,,,
2346,ISC USSEP Patch.esp,ISC USSEP Patch,,,,yes,,
2347,SkyrimsGotTalent-Bards - WACCF.esp,SkyrimsGotTalent-Bards,,,,,,
2348,JKJ- Ohmes Risaad Restored.esp,JKJ- Ohmes Risaad Restored,,,yes,,Project ja-Kha'jay,
2349,Madmen - Aetherius Magic Resist.esp,Madmen,Madmen - Cloaks of Skyrim Patch (keep); Madmen - Dibella's Blessing Patch (keep); Madmen - EEC - Modpocalypse Patch (keep),,,,,
2350,Madmen - Leveled List Difficulty Addon.esp,Madmen,Madmen - Cloaks of Skyrim Patch (keep); Madmen - Dibella's Blessing Patch (keep); Madmen - EEC - Modpocalypse Patch (keep),,,yes,,
