folder,target_line,category,nexus_mod_id,nexus_mod_name,nexus_author,match_method,confidence,suggested_file_id,suggested_file_name,suggested_file_version,file_category,related_plugins,notes
Tomato's Whiterun Remake - PBR or Complex Material,181,nexus_found,173747,Tomato's Whiterun Remake - PBR or Complex Material,Tomatokillz,name_exact,high,,,,,,no file name matches the folder; several MAIN files: Tomato's Whiterun Remake - Complex Material 2k | Tomato's Whiterun Remake - Complex Material 4k | Tomato's Whiterun Remake - PBR - 2k | Tomato's Whiterun Remake - PBR - 4k
Vanaheimr Mountains,182,nexus_found,115471,Vanaheimr - Mountains - MM - Complex Material - PBR,Cl3mus,name_exact,high,567987,Vanaheimr - Mountains - 2k,4.0,ARCHIVED,Vanaheimr Mountains PBR.esp,linked plugin(s) found in this mod's files: Vanaheimr Mountains PBR.esp | match after dropping version/edition tokens | folder matches the file name | suggested file only exists as ARCHIVED; current MAIN: Vanaheimr - Mountains - Vanilla ERM - 2k v5.0 (#585240)
High Quality PBR Ivy,183,nexus_found,129934,High Quality PBR Ivy,jepster,name_exact,high,680996,High Quality PBR Ivy,1.5,MAIN,,folder matches the file name
Bent Pines II PBR,184,nexus_found,175642,Bent Pines II PBR,Julio005,name_exact,high,735351,Bent Pines II PBR,1,MAIN,,folder matches the file name
Nature of the Wild Lands - Rock Replacer,185,nexus_found,132984,Nature of the Wild Lands (NOTWL) - Rock Replacer - PBR,fxxkthisworld Laminin,name_exact,high,615041,Nature of the Wild Lands - Rock Replacer 1K,2.1.1,MAIN,,match after dropping version/edition tokens | other files match equally well: Nature of the Wild Lands - Rock Replacer 2K | Nature of the Wild Lands - Rock Replacer 4K | folder matches the file name
Nature of the Wild Lands - PBR,186,nexus_found,150319,Nature of the Wild Lands - PBR,Leo,name_exact,high,792330,Nature of the Wild Lands - PBR,1.0.4,MAIN,,folder matches the file name
nordic stonewalls pbr,188,nexus_found,127188,Nordic Stonewalls Complex Material and PBR,Leo,name_exact,high,702446,Nordic Stonewalls PBR,1.0.0,MAIN,,folder matches the file name
Faultier's PBR Armors and Clothes - USSEP patch,189,nexus_found,175319,Faultier's PBR Armors and Clothes,Faultierfan,name_exact,high,734172,Faultier's PBR Armors and Clothes - USSEP patch,1.0,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
Faultier's PBR Armors and Clothes,190,nexus_found,175319,Faultier's PBR Armors and Clothes,Faultierfan,name_exact,high,735131,Faultier's PBR Armors and Clothes,1.0,MAIN,,folder matches the file name
Vanaheimr - Landscapes - AIO - PBR,191,nexus_found,145439,Vanaheimr - Landscapes - AIO - Complex Material - PBR,Cl3mus,name_exact,high,797811,Vanaheimr Landscapes - AIO - PBR - 1k,6.0,MAIN,,match after dropping version/edition tokens | other files match equally well: Vanaheimr Landscapes - AIO - PBR - 2k | Vanaheimr Landscapes - AIO - PBR - 4k | folder matches the file name
Ruins Clutter Improved PBR,192,nexus_found,152196,Ruins Clutter Improved PBR,TyLuis (uploader TyLuiss),name_exact,high,657281,Ruins Clutter Improved PBR,2.0,MAIN,,folder matches the file name
Faultier's PBR Skyrim AIO 2k,194,not_found,,,,,,,,,,,no close name match
Falskaar - Landscape Texture Fix,197,nexus_found,139242,Falskaar - Landscape Texture Fix,HeartFlow,name_exact,high,584077,Falskaar - Landscape Texture Fix,1.0,MAIN,Falskaar - Landscape Texture Revert.esl,folder matches the file name
ERM - Textures pbr,198,not_found,,,,,,,,,,,"closest: Missing PBR Textures for Leostevano PBR Conversion of Skurkbro Textures (#166885, s=0.50, dl=156)"
3D Whiterun Trellis pbr,218,nexus_ambiguous,153681,3D Whiterun Trellis - Complex Material and PBR,Leo,name_fuzzy,low,731914,3D Whiterun Trellis - Complex Material and PBR,1.1.0,MAIN,,no file name matches the folder; the only current MAIN file is suggested
Icy Windhelm - Windhelm Entrance Overhaul patch,224,nexus_ambiguous,96759,Lively's Patch for Icy Windhelm and City Entrances Overhaul - Windhelm,Lively (uploader Livelynightmare),name_fuzzy,low,410862,Icy Windhelm - City Entrances Overhaul Windhelm,1.0,MAIN,,"no file name matches the folder; the only current MAIN file is suggested | alternatives: City Entrances Overhaul - Windhelm (#19400, s=0.65, dl=1125939); Ryn's Farms X Windhelm Entrance Overhaul (#167755, s=0.63, dl=138); Icy Windhelm - Lux Orbis Patch Hub (#121025, s=0.62, dl=1154103)"
Serana Re-Imagined - Eyes Re-Visited,230,nexus_found,104129,Serana Re-Imagined - Eyes Re-Visited,naChooey,name_exact,high,448328,Serana Re-Imagined - Eyes Re-Visited,1.1.0,MAIN,,folder matches the file name
Hood Plus Hair for Serana Re-Imagined,231,nexus_found,43495,Hood Plus Hair for Serana Re-Imagined,mkthunderwd,name_exact,high,246187,Hood Plus Hair for Serana Re-Imagined,1.5,OLD_VERSION,Serana Re-Imagined.esp,folder matches the file name | suggested file only exists as OLD_VERSION; current MAIN: Hood Plus Hair for Serana Re-Imagined - Red v2.0b (#450836)
Serana Re-Imagined,232,nexus_found,43430,Serana Re-Imagined SE,Froztee,name_exact,high,181651,Serana Re-Imagined SE,2.0,MAIN,Serana Re-Imagined.esp,linked plugin(s) found in this mod's files: Serana Re-Imagined.esp | match after dropping version/edition tokens | mod flagged adult content | other files match equally well: Serana Re-Imagined ESL Version | folder matches the file name
Ashe - A Visual Replacer2,233,nexus_found,135355,Ashe - A Visual Replacer,urbon,name_exact,high,568923,Ashe - A Visual Replacer,1.0.1,MAIN,Ashe - Visual Replacer.esp,linked plugin(s) found in this mod's files: Ashe - Visual Replacer.esp | folder matches the file name
Serana Dialogue Add-On x Ashe - Crystal Heart - Full Banter Patch (Asherana)2,234,nexus_found,167123,Serana Dialogue Add-On x Ashe - Crystal Heart - Full Banter Patch (Asherana),Martimius,name_exact,high,806955,Ashe and Serana Banter Patch 1.0.11,1.0.11,MAIN,,no file name matches the folder; the only current MAIN file is suggested
Ashe Inigo Patch,235,nexus_found,135085,Ashe - Crystal Heart,Martimius,name_exact,high,573564,Ashe Inigo Patch,1.0InigoPatch,OPTIONAL,Ashe Inigo Compatibility Patch.esp,linked plugin(s) found in this mod's files: Ashe Inigo Compatibility Patch.esp | mod flagged adult content | folder matches the file name
Ashe Static Skill Leveling Patch,236,nexus_found,135085,Ashe - Crystal Heart,Martimius,name_exact,high,661064,Ashe Static Skill Leveling Patch,1.1SSLPatch,OPTIONAL,Ashe - Crystal Heart - Static Skill Levelling Patch.esp,mod flagged adult content | folder matches the file name | matched a file of a mod already identified for other folders (second pass)
Ashe Lux Patch,237,nexus_found,135085,Ashe - Crystal Heart,Martimius,name_exact,high,659984,Ashe Lux Patch,1.0LuxPatch,OPTIONAL,Lux - Ashe - Crystal Heart Patch.esp,mod flagged adult content | folder matches the file name | matched a file of a mod already identified for other folders (second pass)
Ashe 3,238,nexus_ambiguous,135085,Ashe - Crystal Heart,Martimius,name_fuzzy,low,802310,Ashe - Crystal Heart SE,1.3.7,MAIN,Ashe - Fire and Blood.esp;Ashe Impressionist Patches.esp;Ashe RCO Patch.esp,mod flagged adult content | no file name matches the folder; the only current MAIN file is suggested
JK's Fort Dawnguard - SDA Patch,239,nexus_ambiguous,160127,ELFX - JKs Fort Dawnguard IFD Patch,Fallven,name_fuzzy,low,,,,,,linked plugin(s) found only in other mods: JKs Fort Dawnguard - SDA patch.esp | no file name matches the folder; several MAIN files: ELFX - JKs Fort Dawnguard IFD Patch | ELFX - JKs Fort Dawnguard IFD Patch no DTE | name-linked plugin(s) that Nexus places in other mods: JKs Fort Dawnguard - SDA patch.esp
SDA - Standing stones patch,240,nexus_ambiguous,64969,Ryn's Standing Stones,Ryn (uploader Ryn2g),name_fuzzy,low,643771,Ryn's Standing Stones,1.8,MAIN,,"no file name matches the folder; the only current MAIN file is suggested | alternatives: Stave Church (Ilinalta) - Ryn's Standing Stones patch (#124603, s=0.68, dl=842); Sedentary Standing Stones (#31508, s=0.67, dl=53898)"
SDA - Lazy Lux Patches,241,nexus_found,80934,Lazy Lux Patches,eberkain,name_fuzzy,medium,,,,,SDA - UnLux.esp,no file name matches the folder; several MAIN files: Aethernautics UnLux Patch | Brotherhood of Old UnLux Patch | Dark Arts Un-Lux Patch | FryManor UnLux Patch
SDA Patch Hub SE,242,not_found,,,,,,,,,,,"closest: KVE - Serana Patch Hub For Non-SDA Users (#176964, s=0.53, dl=1897)"
Serana Dialogue Add-On,243,nexus_found,32161,Serana Dialogue Add-On,Martimius,name_exact,high,750588,Serana Dialogue Add-On SE,4.3.2,MAIN,SeranaDialogAddon.esp,other files match equally well: Serana Dialogue Add-On 1.0 (Legacy) | Serana Dialogue Add-On SE (4.3 Legacy) | folder matches the file name
IFD Lydia Voice Fix - Skypatched,244,nexus_found,124004,IFD Lydia Voice Fix - Skypatched,NordyMcNordface,name_exact,high,692785,Improved Follower Dialog Lydia Skypatcher,1.0.1,MAIN,,no file name matches the folder; the only current MAIN file is suggested
Improved Follower Dialogue - Lydia,245,nexus_found,38473,Improved Follower Dialogue - Lydia,Roadhouse699 - LMG Wilson,name_exact,high,527423,Improved Follower Dialogue - Lydia,4.2.2,MAIN,ImprovedCompanionsBoogaloo.esp;LydiaPatchForLOTD.esp;LydiaPatchForWyrmstooth.esp,"folder matches the file name | alternatives: Improved Follower Dialogue - Lydia - INIGO (Minor Patch) (#81203, s=0.90, dl=197661); Improved Follower Dialogue - Lydia - Vilja (Minor Patch) (#95632, s=0.90, dl=8683)"
Dragonborn ReVoiced2,247,nexus_found,184221,Dragonborn ReVoiced (DBReV),Raynor1511,name_exact,high,803308,Dragonborn ReVoiced,1.5.2,MAIN,DBReV.esp,folder matches the file name
Cinematic Conversation Camera 1.3.2,248,nexus_found,187087,Cinematic Conversation Camera,hashhbbrown,name_exact,high,791805,Cinematic Conversation Camera 1.3.2,1.3.2,OLD_VERSION,,folder matches the file name | file version matches the version in the folder name | suggested file only exists as OLD_VERSION; current MAIN: Cinematic Conversation Camera 1.4.8 v1.4.8 (#809583)
Unique Jarl Throne Sitting Animation,249,nexus_found,174752,Unique Jarl Throne Sitting Animation (OAR),daubuoi (uploader daubuoibuoi),name_exact,high,736655,Unique Jarl Throne Sitting Animation,1.0.0,MAIN,Unique Jarl Throne Sitting Animation.esp,linked plugin(s) found in this mod's files: Unique Jarl Throne Sitting Animation.esp | folder matches the file name
Whistling in Skyrim,250,nexus_found,114781,Whistling in Skyrim,JobiWanUK,name_exact,high,669391,Whistling in Skyrim,1.01,MAIN,Whistling in Skyrim.esp,linked plugin(s) found in this mod's files: Whistling in Skyrim.esp | folder matches the file name
Walking Stick - Walk with staves or polearms - IED-OAR,251,nexus_found,120966,Walking Stick - Walk with staves or polearms - IED-OAR,GiraPomba,name_exact,high,508070,Walking Stick,1.1.1,MAIN,,no file name matches the folder; the only current MAIN file is suggested
Dova Jump,252,nexus_found,125550,Dova Jump,Ignandr9,name_exact,high,781053,DOVAJUMP (0.9.1.3),0.9.1.3,MAIN,,folder matches the file name
Dynamic Relaxed sneak OAR,253,nexus_found,174139,Dynamic Relaxed sneak OAR,kahvipannu84,name_exact,high,729653,Dynamic Relaxed sneak OAR,1.00,MAIN,,folder matches the file name
Diverse Chicken Coops - CoTN Winterhold Patch,256,nexus_found,152612,Diverse Chicken Coops - Base Object Swapper,FrankBlack,name_exact,high,708850,Diverse Chicken Coops - CoTN Winterhold Patch,1.4,OPTIONAL,,folder matches the file name
Diverse Chicken Coops - Great Town of Shor's Stone,258,nexus_found,152612,Diverse Chicken Coops - Base Object Swapper,FrankBlack,name_exact,high,698552,Diverse Chicken Coops - Great Town of Shor's Stone,1.4,OPTIONAL,,folder matches the file name
Immersive Magic Brooms Legacy of the Dragonborn Patch (Optional),268,nexus_ambiguous,171369,Immersive Magic Brooms - My patches by Xtudo - High Poly Project Legacy of the Dragonborn,Author PixieBomb - My patches by Xtudo,name_fuzzy,low,,,,,FA03LOTDBroomPatch.esp,no file name matches the folder; several MAIN files: Immersive Magic Brooms - HPP patch by Xtudo | Immersive Magic Brooms - LOTD patch by Xtudo | Immersive Magic Brooms - My Tweaks by Xtudo
Sonders Raysense Wall Leaning ALT F,271,nexus_found,188857,Sonder's Raysense Wall Leaning,SonderBain,name_exact,high,791775,Sonders Raysense Wall Leaning ALT F,1.1,MISCELLANEOUS,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
Sonder's Raysense Wall Leaning,272,nexus_found,188857,Sonder's Raysense Wall Leaning,SonderBain,name_exact,high,800830,Sonders Raysense Wall Leaning,1.2,MAIN,,folder matches the file name
Dynamic Wind - Nature Of The Wild Lands Patch,273,nexus_found,177951,Dynamic Wind - Nature of the Wild Lands Patch,LordPhoenix82nd,name_exact,medium,745335,Dynamic Wind - Nature Of The Wild Lands Patch,1.1,MAIN,,"another mod has an equally exact name; picked the far more downloaded one | folder matches the file name | alternatives: Dynamic Winds - Nature of the Wild Lands Patch (#187867, s=1.00, dl=3170)"
DynamicWindSkyrim,274,nexus_found,177024,Dynamic Wind - Skyrim,RavenKZP,name_exact,high,741468,DynamicWindSkyrim,1,MAIN,DynamicWindSkyrim.esp,linked plugin(s) found in this mod's files: DynamicWindSkyrim.esp | folder matches the file name
Dynamic Wind Framework,275,nexus_found,177023,Dynamic Wind Framework - SKSE Plugin,RavenKZP,name_exact,high,757944,Dynamic Wind Framework,1.4,MAIN,,folder matches the file name
ParticleWind NG 3.5,276,not_found,,,,,,,,,,,"closest: Undaunted NG (#86098, s=0.51, dl=7199)"
Kojaks Ambient Flying Dragons,278,nexus_found,124003,Kojaks Ambient Flying Dragons,Kojak747,name_exact,high,530387,Kojaks Ambient Dragons,1.6,MAIN,Kojaks Ambient Dragons.esp,linked plugin(s) found in this mod's files: Kojaks Ambient Dragons.esp | folder matches the file name
Immersive Flying Books,279,nexus_found,166415,Immersive Flying Books,CozySienna,name_exact,high,701969,Immersive Flying Books,1.21,MAIN,ImmersiveFlyingBooks.esp;ImmersiveFlyingBooks - Arcaneum Patch.esp;ImmersiveFlyingBooks - COTN Dawnstar Patch.esp;ImmersiveFlyingBooks - JK's Arcadia's Cauldron Patch.esp;ImmersiveFlyingBooks - JK's Blue Palace Patch.esp;ImmersiveFlyingBooks - JK's Elgrims Elixirs Patch.esp;ImmersiveFlyingBooks - JK's The Hag's Cure Patch.esp;ImmersiveFlyingBooks - LOTD Patch.esp,linked plugin(s) found in this mod's files: ImmersiveFlyingBooks.esp | folder matches the file name
Wayshrines - JK's Skyhaven patch,280,not_found,,,,,,,,,,,"closest: JK's The Bannered Mare Wayshrines of Tamriel Patch (#68325, s=0.62, dl=333)"
Open Wayshrines Add-on for SWIFT - Skyrim Wayshrines Immersive Fast Travel,283,nexus_found,30372,Open Wayshrines Add-on for SWIFT -  Skyrim Wayshrines Immersive Fast Travel,SaiMika,name_exact,high,113440,Open Wayshrines for SWIFT - Tidy,1.0.0,MAIN,smSWIFTshrineSymmetryTidy.esp,other files match equally well: Open Wayshrines for SWIFT - Basic | folder matches the file's archive name
Skyrim Wayshrines - Immersive Fast Travel - SWIFT SE,284,nexus_found,17905,Skyrim Wayshrines - Immersive Fast Travel - SWIFT SE,Pharros (uploader jss2a98aj),name_exact,high,241879,SWIFT SE 3.2.6,3.2.6,MAIN,WayshrinesIFT - Landscape and Water Fixes patch.esp;WayshrinesIFT.esp;WayshrinesIFTDarkend.esp;WayshrinesIFTFalskaar.esp;WayshrinesIFTGrayCowl.esp;WayshrinesIFTWyrmstooth.esp,no file name matches the folder; the only current MAIN file is suggested
SMP Wind NG,285,nexus_found,107718,SMP Wind NG,jg1 (uploader devpieron),name_exact,high,456054,SMP Wind NG,1.0.1,MAIN,,"folder matches the file name | alternatives: SMP Wind NG - 1.5.97 (#182937, s=0.97, dl=904)"
SMP Wind,286,nexus_found,76776,SMP Wind,jg1,name_exact,high,323734,SMP Wind,1.1.0,ARCHIVED,SMP Wind MCM.esp,folder matches the file name | suggested file only exists as ARCHIVED; current MAIN: SMP Wind 1170 v2.3.0-1170 (#465062)
BTS01Margot - Wyrmstooth DBVO Patch,287,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703081,BTS01Margot - Wyrmstooth DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Vigilant DBVO Patch,288,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703078,BTS01Margot - Vigilant DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Legacy of the Dragonborn DBVO Patch,289,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,702379,BTS01Margot - Legacy of the Dragonborn DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - RHO DBVO Patch,290,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703070,BTS01Margot - RHO DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Caught Red Handed DBVO Patch,291,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703047,BTS01Margot - Caught Red Handed DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - CDB DBVO Patch,292,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703049,BTS01Margot - CDB DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Curse of the Hound Amulet DBVO Patch,293,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703052,BTS01Margot - Curse of the Hound Amulet DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Cutting Room Floor DBVO Patch,294,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703053,BTS01Margot - Cutting Room Floor DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Darkend DBVO Patch,295,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703056,BTS01Margot - Darkend DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Sirenroot DBVO Patch,296,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703071,BTS01Margot - Sirenroot DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Wheels of Lull DBVO Patch,297,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703080,BTS01Margot - Wheels of Lull DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Unslaad DBVO Patch,298,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703396,BTS01Margot - Unslaad DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Undeath DBVO Patch,299,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703076,BTS01Margot - Undeath DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Tools of Kagrenac DBVO Patch,300,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703075,BTS01Margot - Tools of Kagrenac DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - The Choice Is Yours DBVO Patch,301,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703074,BTS01Margot - The Choice Is Yours DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Teldryn Serious DBVO Patch,302,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703073,BTS01Margot - Teldryn Serious DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Remi DBVO Patch,303,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,702384,BTS01Margot - Remi DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Project AHO DBVO Patch,304,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703069,BTS01Margot - Project AHO DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Moon and Star DBVO Patch,305,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703067,BTS01Margot - Moon and Star DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Missives DBVO Patch,306,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703066,BTS01Margot - Missives DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Midwood Isle DBVO Patch,307,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703065,BTS01Margot - Midwood Isle DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - HoH Quest Expansion DBVO Patch,308,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703061,BTS01Margot - HoH Quest Expansion DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Gray Cowl of Nocturnal DBVO Patch,309,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703051,BTS01Margot - Gray Cowl of Nocturnal DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Falskaar DBVO Patch,310,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703057,BTS01Margot - Falskaar DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Forgotten City DBVO Patch,311,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703058,BTS01Margot - Forgotten City DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Inigo DBVO Patch,312,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,702376,BTS01Margot - Inigo DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Baba Yaga DBVO Patch,313,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703044,BTS01Margot - Baba Yaga DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Belethor's Sister DBVO Patch,314,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703378,BTS01Margot - Belethor's Sister DBVO Patch,0.91,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Beyond Skyim Bruma DBVO Patch,315,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703379,BTS01Margot - Beyond Skyim Bruma DBVO Patch,0.91,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - CoT DBVO Patch,316,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703048,BTS01Margot - CoT DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Honed Metal DBVO Patch,317,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,702373,BTS01Margot - Honed Metal DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - Ashe DBVO Patch,318,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,703377,BTS01Margot - Ashe DBVO Patch,0.91,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
BTS01Margot - 3DNPC DBVO Patch,319,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,700834,BTS01Margot - 3DNPC DBVO Patch,0.9,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
Margot - DBVO Voice Pack,320,nexus_found,167746,Margot - DBVO Voice Pack,BeyondTheScript,name_exact,high,700831,BTS01Margot - DBVO Voice Pack,1.0,MAIN,,no file name matches the folder; the only current MAIN file is suggested
Gulan0 Animations-Walk-run-sprinting rework,323,nexus_found,164743,Gulan0 Animations-Walk-run-sprinting rework,Gulan0,name_exact,high,,,,,,no file name matches the folder; several MAIN files: Gulan0_walk_run_sprint | Gulan0_walk_run_sprint- OAR | Gulan0_walk_run_sprint- OAR-player
Guards Pose with Weapons,325,nexus_found,110005,Guards pose with weapons IED-OAR,GiraPomba,name_fuzzy,medium,694171,Guards Pose,1.2.1,MAIN,,no file name matches the folder; the only current MAIN file is suggested
Carry My Stuff Horse,327,nexus_found,78205,Carry My Stuff Horse,GiraPomba,name_exact,high,415128,Carry My Stuff Horse,3.0,MAIN,,folder matches the file name
UNDERDOG - Animations 3.0,328,nexus_found,51811,UNDERDOG - Animations - OAR,Hiro aka Tsaxaman,name_exact,high,693465,UNDERDOG - Animations - OAR,3.0.1,MAIN,,match after dropping version/edition tokens | folder matches the file name | file version matches the version in the folder name
Dynamic Female Table Leaning,331,nexus_found,151307,Dynamic Female Table Leaning,Sonderbain,name_exact,high,800827,Dynamic Female Table Leaning,1.2,MAIN,,folder matches the file name
Malignis Animations - Conditions,333,nexus_found,132028,Malignis Animations - Conditions,MayaAnimator (uploader JVraven),name_exact,high,705554,Malignis Animations - Conditions v1.08,1.08,MAIN,,folder matches the file name
Immersive Interactions for Quick Loot,334,nexus_found,96894,Immersive Interactions for Quick Loot,GiraPomba,name_exact,high,411474,Immersive Interactions - Quick Loot,1.1,ARCHIVED,ImmersiveInteractions_QuickLoot.esp,linked plugin(s) found in this mod's files: ImmersiveInteractions_QuickLoot.esp | folder matches the file name | suggested file only exists as ARCHIVED; current MAIN: Immersive Interactions - Quick Loot with Timer v1.5 (#455775)
Dovahkiin can lean Sit Kneel Lay down and Meditate etc too,335,nexus_found,32748,Dovahkiin can lean Sit Kneel Lay down and Meditate etc too,Soupdragon (uploader soupdragon1234),name_exact,high,124694,Use Special Markers,1.0,MAIN,Use Special Markers.esp,no file name matches the folder; newest MAIN file suggested
Random emotions CEE patch,336,nexus_found,91438,Conditional Expressions Extended,crajj,name_exact,high,649777,Random emotions CEE patch,1.0.0,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
Random Emotions SSE,337,nexus_found,70883,Random Emotions SSE,cryomorph and MaskedRPGFan,name_exact,medium,296897,Random Emotions,0.25.2,MAIN,Random Emotions.esp,"another mod has an equally exact name but only as an archived/old file | linked plugin(s) found in this mod's files: Random Emotions.esp | folder matches the file name | alternatives: Random Emotions SE (#29855, s=1.00, dl=32220)"
Immersive Equipment Displays (IED) - Mura Presets,338,nexus_found,62360,Immersive Equipment Displays (IED) - Mura Presets,Mura - SlavicPotato (uploader Mur4s4me),name_exact,high,258710,Immersive Equipment Displays - Mura Presets,1.1,MAIN,,folder matches the file name
