folder,target_line,category,nexus_mod_id,nexus_mod_name,nexus_author,match_method,confidence,suggested_file_id,suggested_file_name,suggested_file_version,file_category,related_plugins,notes
ReLight2,81,nexus_found,167186,ReLight,Legendman - Wired1Up - Truman - StevenHonor (uploader TrumanAE),name_exact,high,808398,RELight,7.3,MAIN,,folder matches the file name
Intellightent,82,nexus_found,172423,Intellightent,meh321,name_exact,high,795280,Intellightent v3,3,MAIN,,folder matches the file name
Dancing LUX CS,83,nexus_found,113926,Dancing lights,Tenz81,name_exact,high,801880,Dancing LUX CS,2,MAIN,Dancing LUX CS.esp,linked plugin(s) found in this mod's files: Dancing LUX CS.esp | folder matches the file name
Lux CS Patch,84,nexus_found,153919,Lux CS,Bottle,name_exact,high,669745,Lux CS Patch,2.0.0,ARCHIVED,Lux - HDR.esp,folder matches the file name | suggested file only exists as ARCHIVED; current MAIN: Lux CS v2.6.0 (#785223)
CS Potion Lights - Awesome Potions Simplified,85,nexus_found,170328,CS Potion Lights,Cynoqem,name_exact,high,712346,CS Potion Lights - Awesome Potions Simplified,1.0.1,MAIN,,folder matches the file name
Tiny Light Placer Hub2,86,nexus_found,169472,Tiny Light Placer Hub (CS Lights),Oaristys,name_exact,high,732085,Tiny Light Placer Hub,1.2,MAIN,,folder matches the file name
CS Lights2,87,nexus_found,138443,CS Light,Bottle,name_exact,high,669746,CS Lights,1.8.0,ARCHIVED,CS Light.esp,linked plugin(s) found in this mod's files: CS Light.esp | folder matches the file name | suggested file only exists as ARCHIVED; current MAIN: CS Light v2.0.1 (#756910)
Light Placer,88,nexus_found,127557,Light Placer,powerofthree,name_exact,high,810446,Light Placer,5.0.0,MAIN,,folder matches the file name
Lux (cs),91,nexus_found,43158,Lux,GGUNIT,name_exact,medium,649989,Lux (main),7.0,MAIN,Lux.esp;Lux - Brighter interior nights.esp,"another mod has an equally exact name; the linked plugin points to this one | linked plugin(s) found in this mod's files: Lux.esp | match after dropping version/edition tokens | other files match equally well: Lux (main plugin update) | folder matches the file name | alternatives: Lux CS (#153919, s=1.00, dl=310156)"
Lux Orbis cs,93,nexus_found,153919,Lux CS,Bottle,plugin_contents,medium,785223,Lux CS,2.6.0,MAIN,Lux Orbis CS.esp;Lux - HDR.esp;Lux CS - Bulbs.esp;Lux CS Templates - Bright.esp,"linked plugin(s) found in this mod's files: Lux Orbis CS.esp | file chosen because it contains the linked plugin | alternatives: Lux Orbis (#56095, s=0.83, dl=5319101); Lux Orbis - Patch Hub (#114169, s=0.64, dl=2428260); Lux Orbis Misc Patches (#67610, s=0.64, dl=696983)"
Vanilla CS rain TEXTURES,98,custom,,,,manual_hint,high,,,,,,user-made texture set for Community Shaders rain
NAT.CS III,99,nexus_found,139567,NAT.CS III,Bottle,name_exact,high,681414,NAT.CS III,2.0.0,MAIN,NAT-CS.esp,linked plugin(s) found in this mod's files: NAT-CS.esp | folder matches the file name
Skyrim Main Menu - Edge Edition,103,nexus_found,145863,Skyrim Main Menu - Edge Edition,KR0GH - Stormhand (uploader Stormhand81),name_exact,high,619880,Skyrim Main Menu - Edge Edition,2.0,MAIN,,folder matches the file name
Grand Solitude - eFPS patch,108,nexus_found,162597,Grand Solitude - eFPS patch,CarpeNihil,name_exact,high,679953,Grand Solitude - eFPS patch,1.1,MAIN,Grand Solitude - eFPS patch.esp,linked plugin(s) found in this mod's files: Grand Solitude - eFPS patch.esp | folder matches the file name
LOTDV6 - Blubbos Solitude - Tree Patch,114,nexus_found,87785,Legacy of the Dragonborn - Blubbo's Solitude 2023 - Trees Patch,Magus80 (uploader Magus80Mods),name_exact,high,597370,LOTDV6 - Blubbos Solitude - Tree Patch,v2.0,MAIN,LOTDV6 - Blubbos Solitude - Tree Patch.esp,linked plugin(s) found in this mod's files: LOTDV6 - Blubbos Solitude - Tree Patch.esp | linked plugin(s) found only in other mods: blubbos_trees_in_solitude.esp | folder matches the file name | name-linked plugin(s) that Nexus places in other mods: blubbos_trees_in_solitude.esp
Sanguis - Mist's Font Replacer,117,nexus_found,37001,Sanguis - Mist's Font Replacer,Mist (uploader MJORK4),name_exact,high,144386,Sanguis - Mist's Font Replacer,1.0,MAIN,,folder matches the file name
Edge UI Racemenu,118,nexus_ambiguous,131948,Edge UI - RaceMenu DIP Patch,Eugene - Wuerfelhusten,name_fuzzy,low,666172,Edge UI - RaceMenu - DIP Patch,v1.1,MAIN,,"no file name matches the folder; the only current MAIN file is suggested | alternatives: Edge UI 0.6.1 - TrueHUD Patch (#131921, s=0.69, dl=321518); Edge UI - Explorer Addon (#143678, s=0.65, dl=1062022)"
Reskin For Edge UI _ Project 3 - Quest Journal Overhaul,119,nexus_found,157551,Reskin For Edge UI _ Project 3 - Quest Journal Overhaul,3THANY,name_exact,high,697834,Reskin For Edge UI _ Project 3 - QJO v1.2,1.2,MAIN,,no file name matches the folder; the only current MAIN file is suggested
Quest Journal Overhaul - Wide Screen,120,nexus_ambiguous,141295,Quest Journal Overhaul,JPSteel2,name_fuzzy,low,608018,Quest Journal Overhaul,1.3,MAIN,,"no file name matches the folder; the only current MAIN file is suggested | alternatives: Quest Journal Overhaul UA (#161075, s=0.72, dl=58)"
Edge UI - Wheeler Reskin,122,nexus_found,99419,Edge UI - Wheeler Reskin,TheLordRigel,name_exact,high,421341,Edge UI - Wheeler Reskin,1.0,MAIN,,"folder matches the file name | alternatives: Edge UI 2- Wheeler Reskin (#162221, s=0.92, dl=987)"
Seasonal Wigfrid's Erdtrees Replacer,125,not_found,,,,,,,,,,,"closest: Seasonal Landscapes (#66903, s=0.45, dl=1719045)"
Dwemer Pipework Reworked PBR,126,nexus_found,175031,Dwemer Pipework Reworked PBR,Julio005,name_exact,high,733621,Dwemer Pipework Reworked PBR 4K,1.0.1,OLD_VERSION,,folder matches the file name | suggested file only exists as OLD_VERSION; current MAIN: Dwemer Pipework Reworked 5 PBR v1.0.1 (#797692)
Novigrad my Solitude,127,nexus_found,126508,Novigrad my Solitude,DaveHans_TB_Shish15_Oracuso,name_exact,high,530429,Novigrad my Solitude,1.0,MAIN,,folder matches the file name
Dawnguard Arsenal - PBR,128,nexus_found,188229,Dawnguard Arsenal - PBR,Tomatokillz - MadCat221,name_exact,high,789205,Dawnguard Arsenal SSE - PBR,1.0,MAIN,,folder matches the file name
Bears of the North - My Fluffy Patch,129,nexus_found,188392,Bears of the North - My Fluffy Patch,blo0d1k,name_exact,high,789914,Bears Of The North - My Fluffy Patch,1,MAIN,,folder matches the file name
Bladedancer's Edge - PBR,130,nexus_found,162295,Bladedancer's Edge - PBR,Addi (uploader Addidi),name_exact,high,682606,Bladedancer's Edge - PBR,2.0,MAIN,,mod flagged adult content | folder matches the file name
Gryphonknight Regalia - PBR 4k,131,nexus_found,107437,Gryphonknight Regalia - Breton Noble Armor (optional SMP and PBR),GVLT,name_exact,high,779872,Gryphonknight Regalia - PBR 4k,1,OPTIONAL,,folder matches the file name
Fortified Morthal - PBR Brick and Roof,132,nexus_found,169263,Fortified Morthal - PBR Brick and Roof,potapovd923,name_exact,high,,,,,,no file name matches the folder; several MAIN files: Fortified Morthal 2K PBR Roof | Fortified Morthal 4K PBR Brick
